proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
0.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
1.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
2.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
2.0,0x3b08AA814bEA604917418A9F0907E7fC430e742C,,,,"['framework-ventures.eth', 'framework-labs.eth']",investment
3.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
3.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
4.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
4.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
5.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
5.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
6.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
6.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
7.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
7.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
8.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
9.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
9.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
