,voter,ens_nondatabase_name,sybil_name,ens_database_name
0,0xb0325DbE7fA891436E83A094f9F12848c78e449b,,,"['tracerbullet.eth', 'stupendousman.eth', 'hobbesian.eth']"
1,0x181fC4A2B228c0e0f996B736F0310Cf9B2e34b56,,,[]
2,0xE3c9eCe23316B6B06142Fa0CA915f02C323C6b21,dakeshi.eth,dkartisto,['dakeshi.eth']
3,0x8703028934B24b47496AD84afD635EA7938487Be,,,[]
4,0x1d29756e8f7b091cE6c11a35980dE79c7eDa5D1f,,,[]
5,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,[]
6,0x2Fd6181541bEbe30D17CF3a5d9f40eBceCbdBA43,,,[]
7,0xE5A52921901C58971ba60725651Dc28bdE98BEB9,,,[]
8,0x7F89077b122aFaaF6AB50AA12E9CB46bB9a058c4,,,[]
9,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,['gauntletnetworks.eth']
10,0xbbD13CA6aACE2a8ECcBDe88bc7849C3c6E4e172E,,,[]
11,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,['dharma-staging.eth']
12,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,[]
13,0xE6B254FF4C7F7b2aB945F9b605098dB94dA9BCFf,,,[]
14,0xd6811412E31fBc07C26Ec4C1f56F8F67e0E47D6E,,,[]
15,0xbE1f4dC51e89Cf3F72CC4039Bb0104eb96F85733,,,[]
16,0x879d430D8eba1de4Cf1bAD4e20dA5E559c030F11,,,[]
17,0xCFAE402f6cED5a476554235B5026c005C85C135A,,,[]
18,0xa0dc2f2f6fD98D9C7254f929DB233F149741c432,mykel.eth,,['mykel.eth']
19,0x8Fe1a0b56C62F79A7bD8B45fe08b0E03C4af572D,,,[]
20,0xfDaaE0c5a7A56C8265b9f86cF8cd934A494E3733,banked.eth,,[]
21,0x582cD2fB9b6f228ACF4EDf8f6C608DDACe41d468,,,[]
22,0x98eA2D8438f70cE876c2Db26Fc494CfeD10b4cd7,,,[]
23,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,[]
